dates,venue,city,home_team,team_1,team_2,total_matches_team1,total_matches_team2,toss_winner,total_wins_team1,total_wins_team2,toss_decision,umpire_1,umpire_2,match_winner,head_to_head,total_loses_team1,total_loses_team2,win_ratio_team1,win_ratio_team2,lose_ratio_team1,lose_ratio_team2
2019-12-11,Wankhede Stadium,Mumbai,India,India,West Indies,,,West Indies,,,field,Nitin Menon,CK Nandan,India,,,,,,,
2020-01-07,Holkar Cricket Stadium,Indore,India,India,Sri Lanka,,,India,,,field,C Shamshuddin,AK Chaudhary,India,,,,,,,
2020-01-10,Maharashtra Cricket Association Stadium,Pune,India,India,Sri Lanka,,,Sri Lanka,,,field,Nitin Menon,VK Sharma,India,,,,,,,
2020-01-15,National Cricket Stadium,St Georges,West Indies,West Indies,Ireland,,,Ireland,,,bat,PA Gustard,GO Brathwaite,Ireland,,,,,,,
2020-01-18,Warner Park,Basseterre,West Indies,Ireland,West Indies,,,West Indies,,,field,PA Gustard,GO Brathwaite,West Indies,,,,,,,
2020-01-19,Warner Park,Basseterre,West Indies,West Indies,Ireland,,,West Indies,,,field,PA Gustard,GO Brathwaite,West Indies,,,,,,,
2020-01-24,Eden Park,Auckland,New Zealand,New Zealand,India,,,India,,,field,CM Brown,SB Haig,India,,,,,,,
2020-01-24,Gaddafi Stadium,Lahore,Pakistan,Pakistan,Bangladesh,,,Bangladesh,,,bat,Shozab Raza,Ahsan Raza,Pakistan,,,,,,,
2020-01-25,Gaddafi Stadium,Lahore,Pakistan,Pakistan,Bangladesh,,,Bangladesh,,,bat,Shozab Raza,Ahsan Raza,Pakistan,,,,,,,
2020-01-26,Eden Park,Auckland,New Zealand,New Zealand,India,,,New Zealand,,,bat,CM Brown,SB Haig,India,,,,,,,
2020-01-29,Seddon Park,Hamilton,New Zealand,India,New Zealand,,,New Zealand,,,field,CM Brown,SB Haig,New Zealand,,,,,,,
2020-01-31,Westpac Stadium,Wellington,New Zealand,India,New Zealand,,,New Zealand,,,field,CM Brown,SB Haig,New Zealand,,,,,,,
2020-02-02,Bay Oval,Mount Maunganui,New Zealand,New Zealand,India,,,India,,,bat,CM Brown,SB Haig,India,,,,,,,
2020-02-12,Buffalo Park,East London,England,South Africa,England,,,England,,,field,BP Jele,AT Holdstock,South Africa,,,,,,,
2020-02-14,Kingsmead,Durban,South Africa,South Africa,England,,,South Africa,,,field,A Paleker,BP Jele,England,,,,,,,
2020-02-16,SuperSport Park,Centurion,South Africa,South Africa,England,,,South Africa,,,bat,A Paleker,AT Holdstock,England,,,,,,,
2020-02-20,Kinrara Academy Oval,Kuala Lumpur,Malaysia,Malaysia,Hong Kong,,,Malaysia,,,bat,V Kalidas,D Sevakumaran,Malaysia,,,,,,,
2020-02-21,Kinrara Academy Oval,Kuala Lumpur,Malaysia,Malaysia,Hong Kong,,,Malaysia,,,bat,Mathan Kumar,V Kalidas,Malaysia,,,,,,,
2020-02-21,The Wanderers Stadium,Johannesburg,South Africa,South Africa,Australia,,123,South Africa,,,field,A Paleker,AT Holdstock,Australia,,,,,,,
2020-02-23,Kinrara Academy Oval,Kuala Lumpur,Malaysia,Malaysia,Hong Kong,,,Malaysia,,,bat,Rudy Ismandy,N Sivan,Malaysia,,,,,,,
2020-02-23,St Georges Park,Port Elizabeth,South Africa,South Africa,Australia,,124,South Africa,,,bat,A Paleker,BP Jele,South Africa,,,,,,,
2020-02-24,Kinrara Academy Oval,Kuala Lumpur,Malaysia,Malaysia,Hong Kong,,,Malaysia,,,bat,L Poobalan,V Kalidas,Malaysia,,,,,,,
2020-02-25,Al Amerat Cricket Ground Oman Cricket Ministry Turf 1,Al Amarat,Oman,Oman,Maldives,,,Oman,,,field,Riyaz Kurupkar,Mohammed Younis,Oman,,,,,,,
2020-02-25,Al Amerat Cricket Ground Oman Cricket Ministry Turf 1,Al Amarat,none,Bahrain,Qatar,,,Qatar,,,bat,Anantha Rajamani,Afzal Pathan,Bahrain,,,,,,,
2020-02-25,Al Amerat Cricket Ground Oman Cricket Ministry Turf 2,Al Amarat,none,Iran,Kuwait,,,Kuwait,,,field,Riyaz Kurupkar,Rahat Ali Chaudhry,Kuwait,,,,,,,
2020-02-25,Al Amerat Cricket Ground Oman Cricket Ministry Turf 2,Al Amarat,none,Saudi Arabia,United Arab Emirates,,,United Arab Emirates,,,bat,Afzal Pathan,Imran Mustafa,United Arab Emirates,,,,,,,
2020-02-26,Al Amerat Cricket Ground Oman Cricket Ministry Turf 1,Al Amarat,none,Kuwait,Bahrain,,,Bahrain,,,field,Riyaz Kurupkar,Rahat Ali Chaudhry,Kuwait,,,,,,,
2020-02-26,Al Amerat Cricket Ground Oman Cricket Ministry Turf 2,Al Amarat,none,Qatar,United Arab Emirates,,,United Arab Emirates,,,bat,Imran Mustafa,Afzalkhan Pathan,United Arab Emirates,,,,,,,
2020-02-26,Kinrara Academy Oval,Kuala Lumpur,Malaysia,Malaysia,Hong Kong,,,Hong Kong,,,bat,Nasir Ali,V Kalidas,Malaysia,,,,,,,
2020-02-26,Newlands,Cape Town,South Africa,South Africa,Australia,,125,South Africa,,,field,BP Jele,AT Holdstock,Australia,,,,,,,
2020-02-27,Al Amerat Cricket Ground Oman Cricket Ministry Turf 1,Al Amarat,none,Kuwait,United Arab Emirates,,,Kuwait,,,field,Afzalkhan Pathan,Rahat Ali Chaudhry,United Arab Emirates,,,,,,,
2020-02-29,Terdthai Cricket Ground,Bangkok,Thailand,Thailand,Singapore,,,Thailand,,,field,SV Sarda,V Kalidas,Singapore,,,,,,,
2020-03-01,Terdthai Cricket Ground,Bangkok,none,Hong Kong,Nepal,,,Nepal,,,field,Arif Ansari,V Kalidas,Hong Kong,,,,,,,
2020-03-01,Terdthai Cricket Ground,Bangkok,Thailand,Thailand,Malaysia,,,Thailand,,,bat,B Manikandan,Sanjay Gurung,Malaysia,,,,,,,
2020-03-03,Terdthai Cricket Ground,Bangkok,none,Malaysia,Singapore,,,Singapore,,,bat,Arif Ansari,AK Rana,Singapore,,,,,,,
2020-03-03,Terdthai Cricket Ground,Bangkok,Thailand,Thailand,Hong Kong,,,Thailand,,,bat,V Kalidas,Sanjay Gurung,Hong Kong,,,,,,,
2020-03-04,Pallekele International Cricket Stadium,Kandy,Sri Lanka,Sri Lanka,West Indies,,,West Indies,,,bat,RMPJ Rambukwella,RSA Palliyaguruge,West Indies,,,,,,,
2020-03-04,Terdthai Cricket Ground,Bangkok,none,Hong Kong,Singapore,,,Singapore,,,bat,Samad Akbar,V Kalidas,Singapore,,,,,,,
2020-03-04,Terdthai Cricket Ground,Bangkok,Thailand,Thailand,Nepal,,,Thailand,,,bat,B Manikandan,Sanjay Gurung,Nepal,,,,,,,
2020-03-06,Greater Noida Sports Complex Ground,Greater Noida,none,Afghanistan,Ireland,,,Ireland,,,bat,Bismillah Shinwari,Ahmed Shah Durrani,Afghanistan,,,,,,,
2020-03-06,Pallekele International Cricket Stadium,Kandy,Sri Lanka,Sri Lanka,West Indies,,,West Indies,,,field,RR Wimalasiri,LE Hannibal,West Indies,,,,,,,
2020-03-06,Terdthai Cricket Ground,Bangkok,none,Hong Kong,Malaysia,,,Malaysia,,,bat,B Manikandan,Sanjay Gurung,Hong Kong,,,,,,,
2020-03-08,Greater Noida Sports Complex Ground,Greater Noida,none,Afghanistan,Ireland,,,Afghanistan,,,bat,Ahmed Shah Pakteen,Izatullah Safi,Afghanistan,,,,,,,
2020-03-09,Shere Bangla National Stadium,Dhaka,Bangladesh,Bangladesh,Zimbabwe,,,Zimbabwe,,,field,Tanvir Ahmed,Sharfuddoula,Bangladesh,,,,,,,
2020-03-10,Greater Noida Sports Complex Ground,Greater Noida,none,Ireland,Afghanistan,,,Afghanistan,,,bat,Bismillah Shinwari,Ahmed Shah Pakteen,Ireland,,,,,,,
2020-03-11,Shere Bangla National Stadium,Dhaka,Bangladesh,Bangladesh,Zimbabwe,,,Bangladesh,,,field,Masudur Rahman,Gazi Sohel,Bangladesh,,,,,,,
2020-08-21,College Field,St Peter Port,Guernsey,Isle of Man,Guernsey,,,Isle of Man,,,bat,C Brooks,M Savage,Guernsey,,,,,,,
2020-08-28,Old Trafford,Manchester,England,Pakistan,England,,,England,,,field,AG Wharf,M Burns,Pakistan,,,,,,,
2020-08-30,Old Trafford,Manchester,England,Pakistan,England,,,England,,,field,MJ Saggers,DJ Millns,England,,,,,,,
