dates,venue,city,home_team,team_1,team_2,total_matches_team1,total_matches_team2,toss_winner,total_wins_team1,total_wins_team2,toss_decision,umpire_1,umpire_2,match_winner,head_to_head,total_loses_team1,total_loses_team2,win_ratio_team1,win_ratio_team2,lose_ratio_team1,lose_ratio_team2
2012-03-13,Dubai International Cricket Stadium,Dubai,none,Canada,Netherlands,,,Netherlands,,,bat,M Hawthorne,JS Wilson,Netherlands,,,,,,,
2012-03-14,Dubai International Cricket Stadium,Dubai,none,Ireland,Kenya,,,Kenya,,,bat,BB Pradhan,SJA Taufel,Ireland,,,,,,,
2012-03-14,Dubai International Cricket Stadium,Dubai,none,Afghanistan,Netherlands,,,Netherlands,,,bat,JD Cloete,SJA Taufel,Afghanistan,,,,,,,
2012-03-18,Dubai International Cricket Stadium,Dubai,none,Ireland,Scotland,,,Ireland,,,bat,REJ Martinesz,SJA Taufel,Ireland,,,,,,,
2012-03-18,ICC Global Cricket Academy,Dubai,none,Afghanistan,Canada,,,Afghanistan,,,bat,S Asnani,JS Wilson,Afghanistan,,,,,,,
2012-03-22,Dubai International Cricket Stadium,Dubai,none,Canada,Ireland,,,Canada,,,bat,JD Cloete,CB Gaffaney,Ireland,,,,,,,
2012-03-23,Dubai International Cricket Stadium,Dubai,none,Canada,Scotland,,,Canada,,,bat,BB Pradhan,JS Wilson,Scotland,,,,,,,
2012-03-23,Dubai International Cricket Stadium,Dubai,none,Ireland,Netherlands,,,Ireland,,,field,Ahsan Raza,CB Gaffaney,Ireland,,,,,,,
2012-03-24,Dubai International Cricket Stadium,Dubai,none,Afghanistan,Ireland,,,Afghanistan,,,bat,CB Gaffaney,BB Pradhan,Ireland,,,,,,,
2012-03-27,Beausejour Stadium,St Lucia,West Indies,West Indies,Australia,,48,West Indies,,,bat,GO Brathwaite,PJ Nero,Australia,,,,,,,
2012-03-30,Kensington Oval,Barbados,West Indies,West Indies,Australia,,49,West Indies,,,bat,PJ Nero,JS Wilson,West Indies,,,,,,,
2012-03-30,New Wanderers Stadium,Johannesburg,South Africa,South Africa,India,,,India,,,field,JD Cloete,S George,South Africa,,,,,,,
2012-06-01,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,Sri Lanka,Pakistan,,,Sri Lanka,,,bat,EAR de Silva,REJ Martinesz,Sri Lanka,,,,,,,
2012-06-03,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,Sri Lanka,Pakistan,,,Pakistan,,,bat,REJ Martinesz,RSA Palliyaguruge,Pakistan,,,,,,,
2012-06-24,Trent Bridge,Nottingham,England,England,West Indies,,,West Indies,,,bat,RK Illingworth,RA Kettleborough,England,,,,,,,
2012-06-30,Central Broward Regional Park Stadium Turf Ground,Lauderhill,none,New Zealand,West Indies,,,New Zealand,,,field,PJ Nero,JS Wilson,West Indies,,,,,,,
2012-07-01,Central Broward Regional Park Stadium Turf Ground,Lauderhill,none,New Zealand,West Indies,,,West Indies,,,bat,PJ Nero,JS Wilson,West Indies,,,,,,,
2012-07-18,Civil Service Cricket Club,Belfast,Ireland,Ireland,Bangladesh,,,Ireland,,,field,M Hawthorne,RP Smith,Bangladesh,,,,,,,
2012-07-25,Sportpark Westvliet,The Hague,Netherlands,Netherlands,Bangladesh,,,Netherlands,,,bat,IN Ramage,RP Smith,Bangladesh,,,,,,,
2012-07-26,Sportpark Westvliet,The Hague,Netherlands,Netherlands,Bangladesh,,,Bangladesh,,,bat,IN Ramage,RP Smith,Netherlands,,,,,,,
2012-08-07,Pallekele International Cricket Stadium,Kandy,Sri Lanka,Sri Lanka,India,,,Sri Lanka,,,field,HDPK Dharmasena,TH Wijewardene,India,,,,,,,
2012-09-05,Dubai International Cricket Stadium,Dubai,none,Australia,Pakistan,50,,Pakistan,,,field,Ahsan Raza,Shozab Raza,Pakistan,,,,,,,
2012-09-07,Dubai International Cricket Stadium,Dubai,none,Pakistan,Australia,,51,Australia,,,bat,Shozab Raza,Zameer Haider,Pakistan,,,,,,,
2012-09-08,Riverside Ground,Chester-le-Street,England,England,South Africa,,,South Africa,,,field,RJ Bailey,RK Illingworth,South Africa,,,,,,,
2012-09-10,Dubai International Cricket Stadium,Dubai,none,Australia,Pakistan,52,,Pakistan,,,field,Ahsan Raza,Zameer Haider,Australia,,,,,,,
2012-09-10,Old Trafford,Manchester,England,South Africa,England,,,England,,,field,RJ Bailey,RK Illingworth,England,,,,,,,
2012-09-11,MA Chidambaram Stadium,Chennai,India,India,New Zealand,,,India,,,field,VA Kulkarni,S Ravi,New Zealand,,,,,,,
2012-09-12,Edgbaston,Birmingham,England,England,South Africa,,,South Africa,,,field,RJ Bailey,RK Illingworth,England,,,,,,,
2012-09-18,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,Sri Lanka,Zimbabwe,,,Zimbabwe,,,field,IJ Gould,RJ Tucker,Sri Lanka,,,,,,,
2012-09-19,R Premadasa Stadium,Colombo,none,Afghanistan,India,,,Afghanistan,,,field,Asad Rauf,SJA Taufel,India,,,,,,,
2012-09-19,R Premadasa Stadium,Colombo,none,Australia,Ireland,53,,Ireland,,,bat,Aleem Dar,HDPK Dharmasena,Australia,,,,,,,
2012-09-20,Mahinda Rajapaksa International Cricket Stadium,Hambantota,none,South Africa,Zimbabwe,,,South Africa,,,field,SJ Davis,RA Kettleborough,South Africa,,,,,,,
2012-09-21,Pallekele International Cricket Stadium,Kandy,none,Bangladesh,New Zealand,,,Bangladesh,,,field,M Erasmus,NJ Llong,New Zealand,,,,,,,
2012-09-21,R Premadasa Stadium,Colombo,none,Afghanistan,England,,,Afghanistan,,,field,HDPK Dharmasena,SJA Taufel,England,,,,,,,
2012-09-22,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,Sri Lanka,South Africa,,,Sri Lanka,,,field,RA Kettleborough,RJ Tucker,South Africa,,,,,,,
2012-09-22,R Premadasa Stadium,Colombo,none,Australia,West Indies,54,,West Indies,,,bat,Aleem Dar,Asad Rauf,Australia,,,,,,,
2012-09-23,Pallekele International Cricket Stadium,Kandy,none,New Zealand,Pakistan,,,Pakistan,,,bat,M Erasmus,BNJ Oxenford,Pakistan,,,,,,,
2012-09-23,R Premadasa Stadium,Colombo,none,England,India,,,England,,,field,Aleem Dar,SJA Taufel,India,,,,,,,
2012-09-24,R Premadasa Stadium,Colombo,none,West Indies,Ireland,,,Ireland,,,field,Asad Rauf,HDPK Dharmasena,West Indies,,,,,,,
2012-09-25,Pallekele International Cricket Stadium,Kandy,none,Bangladesh,Pakistan,,,Bangladesh,,,bat,SJ Davis,IJ Gould,Pakistan,,,,,,,
2012-09-27,Pallekele International Cricket Stadium,Kandy,Sri Lanka,New Zealand,Sri Lanka,,,Sri Lanka,,,bat,Aleem Dar,SJA Taufel,New Zealand,,,,,,,
2012-09-27,Pallekele International Cricket Stadium,Kandy,none,England,West Indies,,,West Indies,,,bat,Asad Rauf,SJ Davis,West Indies,,,,,,,
2012-09-28,R Premadasa Stadium,Colombo,none,Australia,India,55,,India,,,bat,HDPK Dharmasena,RA Kettleborough,Australia,,,,,,,
2012-09-28,R Premadasa Stadium,Colombo,none,Pakistan,South Africa,,,South Africa,,,bat,IJ Gould,RJ Tucker,Pakistan,,,,,,,
2012-09-29,Pallekele International Cricket Stadium,Kandy,none,England,New Zealand,,,New Zealand,,,bat,Asad Rauf,SJA Taufel,England,,,,,,,
2012-09-29,Pallekele International Cricket Stadium,Kandy,Sri Lanka,Sri Lanka,West Indies,,,West Indies,,,bat,Aleem Dar,SJ Davis,Sri Lanka,,,,,,,
2012-09-30,R Premadasa Stadium,Colombo,none,Australia,South Africa,56,,Australia,,,field,HDPK Dharmasena,IJ Gould,Australia,,,,,,,
2012-09-30,R Premadasa Stadium,Colombo,none,India,Pakistan,,,Pakistan,,,bat,RA Kettleborough,RJ Tucker,India,,,,,,,
2012-10-01,Pallekele International Cricket Stadium,Kandy,Sri Lanka,Sri Lanka,England,,,England,,,field,SJ Davis,SJA Taufel,Sri Lanka,,,,,,,
2012-10-01,Pallekele International Cricket Stadium,Kandy,none,West Indies,New Zealand,,,New Zealand,,,field,Aleem Dar,Asad Rauf,New Zealand,,,,,,,
2012-10-02,R Premadasa Stadium,Colombo,none,Australia,Pakistan,57,,Australia,,,field,IJ Gould,RA Kettleborough,Pakistan,,,,,,,
2012-10-02,R Premadasa Stadium,Colombo,none,India,South Africa,,,South Africa,,,field,HDPK Dharmasena,RJ Tucker,India,,,,,,,
2012-10-04,R Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,Pakistan,,,Sri Lanka,,,bat,SJA Taufel,RJ Tucker,Sri Lanka,,,,,,,
2012-10-05,R Premadasa Stadium,Colombo,none,Australia,West Indies,58,,West Indies,,,bat,Aleem Dar,HDPK Dharmasena,West Indies,,,,,,,
2012-10-07,R Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,West Indies,,,West Indies,,,bat,Aleem Dar,SJA Taufel,West Indies,,,,,,,
2012-10-30,Pallekele International Cricket Stadium,Kandy,Sri Lanka,New Zealand,Sri Lanka,,,Sri Lanka,,,field,REJ Martinesz,RSA Palliyaguruge,Sri Lanka,,,,,,,
2012-12-10,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,West Indies,,,West Indies,,,bat,Anisur Rahman,Enamul Haque,West Indies,,,,,,,
2012-12-20,Subrata Roy Sahara Stadium,Pune,India,India,England,,,India,,,field,S Asnani,C Shamshuddin,India,,,,,,,
2012-12-21,Kingsmead,Durban,South Africa,South Africa,New Zealand,,,New Zealand,,,bat,JD Cloete,S George,South Africa,,,,,,,
2012-12-22,Wankhede Stadium,Mumbai,India,India,England,,,England,,,field,VA Kulkarni,S Ravi,England,,,,,,,
2012-12-23,Buffalo Park,East London,none,South Africa,New Zealand,,,New Zealand,,,field,S George,AT Holdstock,New Zealand,,,,,,,
2012-12-25,M Chinnaswamy Stadium,Bangalore,India,India,Pakistan,,,Pakistan,,,field,S Ravi,C Shamshuddin,Pakistan,,,,,,,
2012-12-26,St Georges Park,Port Elizabeth,South Africa,South Africa,New Zealand,,,South Africa,,,bat,JD Cloete,AT Holdstock,South Africa,,,,,,,
2012-12-28,Sardar Patel Stadium,Ahmedabad,India,India,Pakistan,,,Pakistan,,,field,S Asnani,VA Kulkarni,India,,,,,,,
2013-01-20,New Wanderers Stadium,Johannesburg,South Africa,South Africa,Pakistan,,,Pakistan,,,field,JD Cloete,S George,South Africa,,,,,,,
2013-01-22,Newlands,Cape Town,South Africa,South Africa,Pakistan,,,Pakistan,,,bat,JD Cloete,S George,Pakistan,,,,,,,
2013-01-26,Stadium Australia,Sydney,Australia,Australia,Sri Lanka,59,,Australia,,,bat,SD Fry,PR Reiffel,Sri Lanka,,,,,,,
2013-01-28,Melbourne Cricket Ground,Melbourne,Australia,Australia,Sri Lanka,60,,Australia,,,field,SD Fry,JD Ward,Sri Lanka,,,,,,,
2013-02-09,Eden Park,Auckland,New Zealand,New Zealand,England,,,New Zealand,,,field,CB Gaffaney,DJ Walker,England,,,,,,,
2013-02-12,Seddon Park,Hamilton,New Zealand,New Zealand,England,,,England,,,field,GAV Baxter,DJ Walker,New Zealand,,,,,,,
2013-02-13,Brisbane Cricket Ground,Brisbane,Australia,Australia,West Indies,61,,West Indies,,,bat,PR Reiffel,JD Ward,West Indies,,,,,,,
2013-02-15,Westpac Stadium,Wellington,New Zealand,New Zealand,England,,,England,,,field,GAV Baxter,CB Gaffaney,England,,,,,,,
2013-03-02,Sir Vivian Richards Stadium,Antigua,West Indies,West Indies,Zimbabwe,,,Zimbabwe,,,bat,PJ Nero,JS Wilson,West Indies,,,,,,,
2013-03-03,Sharjah Cricket Stadium,Sharjah,none,Afghanistan,Scotland,,,Afghanistan,,,bat,RSA Palliyaguruge,Sarika Prasad,Afghanistan,,,,,,,
2013-03-03,Sir Vivian Richards Stadium,Antigua,West Indies,West Indies,Zimbabwe,,,West Indies,,,bat,GO Brathwaite,JS Wilson,West Indies,,,,,,,
2013-03-03,SuperSport Park,Centurion,South Africa,South Africa,Pakistan,,,Pakistan,,,bat,JD Cloete,S George,Pakistan,,,,,,,
2013-03-04,Sharjah Cricket Stadium,Sharjah,none,Afghanistan,Scotland,,,Scotland,,,bat,RSA Palliyaguruge,Sarika Prasad,Afghanistan,,,,,,,
2013-03-15,ICC Global Cricket Academy,Dubai,none,Canada,Kenya,,,Kenya,,,bat,RJ Bailey,D Odhiambo,Canada,,,,,,,
2013-03-16,ICC Global Cricket Academy,Dubai,none,Canada,Kenya,,,Kenya,,,bat,RJ Bailey,D Odhiambo,Kenya,,,,,,,
2013-03-31,Pallekele International Cricket Stadium,Kandy,Sri Lanka,Sri Lanka,Bangladesh,,,Bangladesh,,,field,REJ Martinesz,RSA Palliyaguruge,Sri Lanka,,,,,,,
2013-04-19,Wanderers Cricket Ground,Windhoek,none,Kenya,Netherlands,,,Netherlands,,,bat,S George,AT Holdstock,Kenya,,,,,,,
2013-04-20,Wanderers Cricket Ground,Windhoek,none,Kenya,Netherlands,,,Kenya,,,field,S George,AT Holdstock,Kenya,,,,,,,
2013-05-11,Queens Sports Club,Bulawayo,Zimbabwe,Zimbabwe,Bangladesh,,,Zimbabwe,,,bat,O Chirombe,RB Tiffin,Zimbabwe,,,,,,,
2013-05-12,Queens Sports Club,Bulawayo,Zimbabwe,Zimbabwe,Bangladesh,,,Bangladesh,,,bat,O Chirombe,TJ Matibiri,Bangladesh,,,,,,,
2013-06-25,Kennington Oval,London,England,England,New Zealand,,,England,,,field,RJ Bailey,RK Illingworth,New Zealand,,,,,,,
2013-06-27,Kennington Oval,London,England,New Zealand,England,,,England,,,field,RK Illingworth,RT Robinson,New Zealand,,,,,,,
2013-07-27,Arnos Vale Ground,St Vincent,West Indies,West Indies,Pakistan,,,West Indies,,,bat,GO Brathwaite,PJ Nero,Pakistan,,,,,,,
2013-07-28,Arnos Vale Ground,St Vincent,West Indies,West Indies,Pakistan,,,Pakistan,,,bat,GO Brathwaite,JS Wilson,Pakistan,,,,,,,
2013-08-02,R Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,South Africa,,,South Africa,,,bat,REJ Martinesz,RR Wimalasiri,South Africa,,,,,,,
2013-08-04,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,Sri Lanka,South Africa,,,South Africa,,,bat,REJ Martinesz,RSA Palliyaguruge,South Africa,,,,,,,
2013-08-06,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,Sri Lanka,South Africa,,,South Africa,,,bat,REJ Martinesz,RSA Palliyaguruge,Sri Lanka,,,,,,,
2013-08-23,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,Pakistan,,,Zimbabwe,,,field,O Chirombe,TJ Matibiri,Pakistan,,,,,,,
2013-08-24,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,Pakistan,,,Zimbabwe,,,field,O Chirombe,RB Tiffin,Pakistan,,,,,,,
2013-08-29,The Rose Bowl,Southampton,England,England,Australia,,62,England,,,field,RJ Bailey,RT Robinson,Australia,,,,,,,
2013-08-31,Riverside Ground,Chester-le-Street,England,England,Australia,,63,Australia,,,field,RJ Bailey,MA Gough,England,,,,,,,
2013-09-30,Sharjah Cricket Stadium,Sharjah,none,Afghanistan,Kenya,,,Afghanistan,,,bat,RSA Palliyaguruge,BB Pradhan,Afghanistan,,,,,,,
2013-10-10,Saurashtra Cricket Association Stadium,Rajkot,India,India,Australia,,64,India,,,field,AK Chaudhary,C Shamshuddin,India,,,,,,,
2013-10-11,Sharjah Cricket Stadium,Sharjah,none,Afghanistan,Kenya,,,Kenya,,,bat,RSA Palliyaguruge,BB Pradhan,Kenya,,,,,,,
2013-11-06,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,New Zealand,,,New Zealand,,,bat,Anisur Rahman,Sharfuddoula,New Zealand,,,,,,,
2013-11-13,Dubai International Cricket Stadium,Dubai,none,Pakistan,South Africa,,,Pakistan,,,bat,Ahsan Raza,Shozab Raza,South Africa,,,,,,,
2013-11-15,Dubai International Cricket Stadium,Dubai,none,Pakistan,South Africa,,,South Africa,,,bat,Ahsan Raza,Zameer Haider,South Africa,,,,,,,
2013-11-15,Sharjah Cricket Stadium,Sharjah,none,Afghanistan,Netherlands,,,Afghanistan,,,bat,S Ravi,M Hawthorne,Netherlands,,,,,,,
2013-11-16,Sharjah Cricket Stadium,Sharjah,none,Afghanistan,Scotland,,,Afghanistan,,,bat,CB Gaffaney,AT Holdstock,Afghanistan,,,,,,,
2013-11-16,Sheikh Zayed Stadium,Abu Dhabi,none,Canada,Ireland,,,Canada,,,field,MA Gough,REJ Martinesz,Ireland,,,,,,,
2013-11-19,ICC Academy,Dubai,none,Kenya,Scotland,,,Kenya,,,bat,AT Holdstock,S Ravi,Kenya,,,,,,,
2013-11-21,Pallekele International Cricket Stadium,Kandy,Sri Lanka,Sri Lanka,New Zealand,,,Sri Lanka,,,field,RSA Palliyaguruge,RR Wimalasiri,Sri Lanka,,,,,,,
2013-11-22,ICC Academy,Dubai,none,Netherlands,Scotland,,,Netherlands,,,field,M Hawthorne,S Ravi,Scotland,,,,,,,
2013-11-23,ICC Academy,Dubai,none,Kenya,Netherlands,,,Netherlands,,,bat,AT Holdstock,Sarika Prasad,Netherlands,,,,,,,
2013-11-24,Sharjah Cricket Stadium,Sharjah,none,Afghanistan,Kenya,,,Afghanistan,,,bat,BB Pradhan,Sarika Prasad,Afghanistan,,,,,,,
2013-11-26,Sharjah Cricket Stadium,Sharjah,none,Canada,Kenya,,,Kenya,,,bat,Sarika Prasad,DJ Walker,Kenya,,,,,,,
2013-11-28,Sheikh Zayed Stadium,Abu Dhabi,none,Netherlands,Scotland,,,Scotland,,,bat,SJ Davis,REJ Martinesz,Netherlands,,,,,,,
2013-11-30,Sheikh Zayed Stadium,Abu Dhabi,none,Afghanistan,Ireland,,,Ireland,,,bat,MA Gough,S Ravi,Ireland,,,,,,,
2013-12-08,Sharjah Cricket Stadium,Sharjah,none,Afghanistan,Pakistan,,,Afghanistan,,,bat,Ahsan Raza,Shozab Raza,Pakistan,,,,,,,
2013-12-11,Dubai International Cricket Stadium,Dubai,none,Pakistan,Sri Lanka,,,Pakistan,,,field,Ahsan Raza,Shozab Raza,Pakistan,,,,,,,
2013-12-13,Dubai International Cricket Stadium,Dubai,none,Pakistan,Sri Lanka,,,Pakistan,,,field,Ahsan Raza,Zameer Haider,Sri Lanka,,,,,,,
2014-01-11,Eden Park,Auckland,New Zealand,New Zealand,West Indies,,,New Zealand,,,bat,CB Gaffaney,DJ Walker,New Zealand,,,,,,,
2014-01-15,Westpac Stadium,Wellington,New Zealand,New Zealand,West Indies,,,West Indies,,,bat,GAV Baxter,CB Gaffaney,New Zealand,,,,,,,
2014-01-29,Bellerive Oval,Hobart,Australia,Australia,England,65,,Australia,,,bat,SD Fry,JD Ward,Australia,,,,,,,
2014-01-31,Melbourne Cricket Ground,Melbourne,Australia,Australia,England,66,,England,,,bat,JD Ward,P Wilson,Australia,,,,,,,
2014-02-02,Stadium Australia,Sydney,Australia,Australia,England,67,,Australia,,,bat,SD Fry,P Wilson,Australia,,,,,,,
2014-02-12,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,Bangladesh,Sri Lanka,,,Bangladesh,,,field,Anisur Rahman,Sharfuddoula,Sri Lanka,,,,,,,
2014-02-14,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,Bangladesh,Sri Lanka,,,Bangladesh,,,bat,Anisur Rahman,Sharfuddoula,Sri Lanka,,,,,,,
2014-02-19,Sabina Park,Jamaica,West Indies,West Indies,Ireland,,,West Indies,,,bat,GO Brathwaite,JS Wilson,Ireland,,,,,,,
2014-02-21,Sabina Park,Jamaica,West Indies,West Indies,Ireland,,,Ireland,,,field,N Duguid,JS Wilson,West Indies,,,,,,,
2014-03-09,Kensington Oval,Barbados,West Indies,West Indies,England,,,West Indies,,,bat,PJ Nero,JS Wilson,West Indies,,,,,,,
2014-03-11,Kensington Oval,Barbados,West Indies,West Indies,England,,,England,,,bat,GO Brathwaite,PJ Nero,West Indies,,,,,,,
2014-03-12,Kingsmead,Durban,South Africa,South Africa,Australia,,68,Australia,,,field,S George,AT Holdstock,Australia,,,,,,,
2014-03-13,Kensington Oval,Barbados,West Indies,West Indies,England,,,England,,,bat,GO Brathwaite,JS Wilson,England,,,,,,,
2014-03-14,SuperSport Park,Centurion,South Africa,South Africa,Australia,,69,Australia,,,field,JD Cloete,S George,Australia,,,,,,,
2014-03-16,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,Afghanistan,,,Bangladesh,,,field,RK Illingworth,NJ Llong,Bangladesh,,,,,,,
2014-03-16,Zahur Ahmed Chowdhury Stadium,Chittagong,none,Hong Kong,Nepal,,,Hong Kong,,,field,Aleem Dar,RJ Tucker,Nepal,,,,,,,
2014-03-17,Sylhet International Cricket Stadium,Sylhet,none,Ireland,Zimbabwe,,,Ireland,,,field,SJ Davis,M Erasmus,Ireland,,,,,,,
2014-03-17,Sylhet International Cricket Stadium,Sylhet,none,Netherlands,United Arab Emirates,,,United Arab Emirates,,,bat,BF Bowden,IJ Gould,Netherlands,,,,,,,
2014-03-18,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,Bangladesh,Nepal,,,Bangladesh,,,field,Aleem Dar,RJ Tucker,Bangladesh,,,,,,,
2014-03-18,Zahur Ahmed Chowdhury Stadium,Chittagong,none,Afghanistan,Hong Kong,,,Hong Kong,,,bat,S Ravi,PR Reiffel,Afghanistan,,,,,,,
2014-03-19,Sylhet International Cricket Stadium,Sylhet,none,Ireland,United Arab Emirates,,,Ireland,,,field,M Erasmus,IJ Gould,Ireland,,,,,,,
2014-03-19,Sylhet International Cricket Stadium,Sylhet,none,Netherlands,Zimbabwe,,,Netherlands,,,bat,SJ Davis,BNJ Oxenford,Zimbabwe,,,,,,,
2014-03-20,Zahur Ahmed Chowdhury Stadium,Chittagong,none,Afghanistan,Nepal,,,Afghanistan,,,field,Aleem Dar,S Ravi,Nepal,,,,,,,
2014-03-20,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,Bangladesh,Hong Kong,,,Hong Kong,,,field,PR Reiffel,RJ Tucker,Hong Kong,,,,,,,
2014-03-21,Shere Bangla National Stadium,Mirpur,none,India,Pakistan,,,India,,,field,HDPK Dharmasena,RA Kettleborough,India,,,,,,,
2014-03-21,Sylhet International Cricket Stadium,Sylhet,none,Ireland,Netherlands,,,Netherlands,,,field,SJ Davis,IJ Gould,Netherlands,,,,,,,
2014-03-21,Sylhet International Cricket Stadium,Sylhet,none,United Arab Emirates,Zimbabwe,,,Zimbabwe,,,field,BF Bowden,BNJ Oxenford,Zimbabwe,,,,,,,
2014-03-22,Zahur Ahmed Chowdhury Stadium,Chittagong,none,England,New Zealand,,,New Zealand,,,field,Aleem Dar,PR Reiffel,New Zealand,,,,,,,
2014-03-22,Zahur Ahmed Chowdhury Stadium,Chittagong,none,South Africa,Sri Lanka,,,Sri Lanka,,,bat,S Ravi,RJ Tucker,Sri Lanka,,,,,,,
2014-03-23,Shere Bangla National Stadium,Mirpur,none,Australia,Pakistan,70,,Australia,,,field,RA Kettleborough,NJ Llong,Pakistan,,,,,,,
2014-03-23,Shere Bangla National Stadium,Mirpur,none,India,West Indies,,,India,,,field,HDPK Dharmasena,RK Illingworth,India,,,,,,,
2014-03-24,Zahur Ahmed Chowdhury Stadium,Chittagong,none,New Zealand,South Africa,,,New Zealand,,,field,Aleem Dar,S Ravi,South Africa,,,,,,,
2014-03-24,Zahur Ahmed Chowdhury Stadium,Chittagong,none,Netherlands,Sri Lanka,,,Sri Lanka,,,field,PR Reiffel,RJ Tucker,Sri Lanka,,,,,,,
2014-03-25,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,West Indies,,,Bangladesh,,,field,RA Kettleborough,NJ Llong,West Indies,,,,,,,
2014-03-27,Zahur Ahmed Chowdhury Stadium,Chittagong,none,England,Sri Lanka,,,England,,,field,Aleem Dar,RJ Tucker,England,,,,,,,
2014-03-27,Zahur Ahmed Chowdhury Stadium,Chittagong,none,Netherlands,South Africa,,,Netherlands,,,field,SJ Davis,BNJ Oxenford,South Africa,,,,,,,
2014-03-28,Shere Bangla National Stadium,Mirpur,none,Australia,West Indies,71,,Australia,,,bat,M Erasmus,IJ Gould,West Indies,,,,,,,
2014-03-28,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,India,,,India,,,field,HDPK Dharmasena,RA Kettleborough,India,,,,,,,
2014-03-29,Zahur Ahmed Chowdhury Stadium,Chittagong,none,England,South Africa,,,England,,,field,SJ Davis,RJ Tucker,South Africa,,,,,,,
2014-03-29,Zahur Ahmed Chowdhury Stadium,Chittagong,none,Netherlands,New Zealand,,,New Zealand,,,field,Aleem Dar,BNJ Oxenford,New Zealand,,,,,,,
2014-03-30,Shere Bangla National Stadium,Mirpur,none,Australia,India,72,,Australia,,,field,HDPK Dharmasena,M Erasmus,India,,,,,,,
2014-03-30,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,Pakistan,,,Pakistan,,,bat,IJ Gould,RA Kettleborough,Pakistan,,,,,,,
2014-03-31,Zahur Ahmed Chowdhury Stadium,Chittagong,none,England,Netherlands,,,England,,,field,SJ Davis,BNJ Oxenford,Netherlands,,,,,,,
2014-03-31,Zahur Ahmed Chowdhury Stadium,Chittagong,none,New Zealand,Sri Lanka,,,New Zealand,,,field,Aleem Dar,RJ Tucker,Sri Lanka,,,,,,,
2014-04-01,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,Australia,,73,Bangladesh,,,bat,HDPK Dharmasena,M Erasmus,Australia,,,,,,,
2014-04-01,Shere Bangla National Stadium,Mirpur,none,Pakistan,West Indies,,,West Indies,,,bat,IJ Gould,RA Kettleborough,West Indies,,,,,,,
2014-04-03,Shere Bangla National Stadium,Mirpur,none,Sri Lanka,West Indies,,,Sri Lanka,,,bat,RA Kettleborough,RJ Tucker,Sri Lanka,,,,,,,
2014-04-04,Shere Bangla National Stadium,Mirpur,none,India,South Africa,,,South Africa,,,bat,HDPK Dharmasena,IJ Gould,India,,,,,,,
2014-04-06,Shere Bangla National Stadium,Mirpur,none,India,Sri Lanka,,,Sri Lanka,,,field,IJ Gould,RA Kettleborough,Sri Lanka,,,,,,,
2014-05-20,Kennington Oval,London,England,England,Sri Lanka,,,England,,,field,RJ Bailey,MA Gough,Sri Lanka,,,,,,,
2014-07-05,Windsor Park,Dominica,West Indies,West Indies,New Zealand,,,New Zealand,,,field,PJ Nero,JS Wilson,New Zealand,,,,,,,
2014-07-06,Windsor Park,Dominica,West Indies,West Indies,New Zealand,,,New Zealand,,,field,GO Brathwaite,JS Wilson,West Indies,,,,,,,
2014-08-27,Warner Park,St Kitts,West Indies,Bangladesh,West Indies,,,West Indies,,,bat,PJ Nero,JS Wilson,Bangladesh,,,,,,,
2014-09-07,Edgbaston,Birmingham,England,England,India,,,England,,,bat,IJ Gould,RT Robinson,England,,,,,,,
2014-10-05,Dubai International Cricket Stadium,Dubai,none,Australia,Pakistan,74,,Pakistan,,,bat,Ahsan Raza,Shozab Raza,Australia,,,,,,,
2014-11-05,Adelaide Oval,Adelaide,Australia,Australia,South Africa,75,,Australia,,,bat,SD Fry,JD Ward,South Africa,,,,,,,
2014-11-07,Melbourne Cricket Ground,Melbourne,Australia,Australia,South Africa,76,,South Africa,,,bat,SD Fry,MD Martell,Australia,,,,,,,
2014-11-09,Stadium Australia,Sydney,Australia,Australia,South Africa,77,,Australia,,,field,MD Martell,JD Ward,Australia,,,,,,,
